YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY
2022,9065132,KIM SENG 3,Chemical/Products Tanker,2043,1634.4,1992,Togo,,Greatsources Shipping,China,Kind Glory Shipping Co Ltd,Century Shipping & Trading Ltd,Marshall Islands,Chittagong,Bangladesh
2022,8806503,SHUN FU,Bulk Carrier,38337,30669.6,1990,Panama,,Greatsources Shipping,China,Greatsources Shipping,Shunfu Shipping Hong Kong Ltd,Hong Kong,Chittagong,Bangladesh
2022,6922432,ULISES,Patrol Vessel,1590,1272,1969,Cuba,,Cuba Govt Border Guard,Cuba,Cuba Govt Border Guard,Cuba Govt Border Guard,Cuba,Bahia Honda,Cuba
2022,5142750,EVANGELIYA,Accommodation Ship,967,773.6,1959,Cyprus,,Metis Platforms Ltd,Cyprus,Metis Platforms Ltd,Metis Platforms Ltd,Cyprus,Aliaga,Turkey
2022,7359400,TITAN,Passenger/Cruise,15402,12321.6,1975,Palau,Cyprus,Salamis Cruises,Cyprus,Salamis Cruises,Mana Shipping Co Ltd,Cyprus,Gadani,Pakistan
2022,8312100,LINDA STAR,Bulk Carrier,17065,13652,1984,Panama,,Sesco Trading Cyprus Ltd,Cyprus,Jet Shipmanagement Ltd,Jet Shipmanagement Ltd,Marshall Islands,Gadani,Pakistan
2022,7610414,SVEABORG,Fish Factory Ship,5925,4740,1979,Cameroon,,Sundborn Management Ltd,Cyprus,Sundborn Management Ltd,Camelford Ltd,St Vincent & The Grenadines,Alang,India
2022,9246736,MAERSK HELPER,Anchor Handling Tug Supply,3427,2741.6,2002,Denmark,,Moller AP,Denmark,Maersk Supply Service AS,Maersk Supply Service AS,Denmark,Grenaa,Denmark
2022,9245914,MAERSK WINNER,Anchor Handling Tug Supply,6655,5324,2003,Isle Of Man,,Moller AP,Denmark,Maersk Supply Service AS,Maersk Supply Service Subsea,United Kingdom,Grenaa,Denmark
2022,9193795,MAERSK ATTENDER,Anchor Handling Tug Supply,6689,5351.2,2000,Isle Of Man,,Moller AP,Denmark,Maersk Supply Service AS,Maersk Supply Service Subsea,United Kingdom,Grenaa,Denmark
2022,7704849,NORDVAAG,Palletised Cargo Ship,2854,2283.2,1979,Denmark,,Norresundby Rederi A/S,Denmark,Norresundby Rederi & Shipping,Norwegian Seaweed Production,Denmark,Grenaa,Denmark
2022,8026907,ZHEN HUA 19,Heavy Load Carrier,28559,22847.2,1984,St Vincent & The Grenadines,,Shanghai Zhenhua Port,China,Shanghai Zhenhua Shipping Co,Zhen Hua 3 Shipping - SVG,St Vincent & The Grenadines,Gadani,Pakistan
2022,9158331,T AURORA,Chemical/Products Tanker,1991,1592.8,1996,Palau,Hong Kong,Sinochem International Corp,China,Shanghai Junzheng Shipping,SC Aurora Shipping Co Ltd,Hong Kong,Chittagong,Bangladesh
2022,8121915,SIN 8,Anchor Handling Tug Supply,1330,1064,1985,Gabon,Panama,Sinopec Offshore Oilfield Serv,China,Sinopec Offshore Oilfield Serv,Sinopec Offshore Oilfield Serv,China,Chittagong,Bangladesh
2022,8700395,JOINT LUCK,Products Tanker,3491,2792.8,1987,Gabon,Sierra Leone,Wang Q,China,Hongkong Hanxing Intl Holding,Hongkong Hanxing Intl Holding,Hong Kong,Chittagong,Bangladesh
2022,9044085,SEARICH,Products Tanker,3244,2595.2,1992,Panama,,Wu H,China,Ace Marine Ltd,Yu Hong Industrial Investment,Hong Kong,Chittagong,Bangladesh
