YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY,ARRIVAL
2022,8419465,ORAS,General Cargo Ship,"3,666","1,879",1984,Gabon,Indonesia,Tanto Intim Line PT,Indonesia,Tanto Intim Line PT,Tanto Intim Line PT,Indonesia,Chittagong,Bangladesh,22-Sep
2022,7514074,EAGLE II,Products Tanker ,"6,041","2,000",1976,Tanzania (Zanzibar),Iraq,Unknown,Iraq,Unknown,Unknown,Unknown,Gadani,Pakistan,22-May
2022,8816340,STAR 2,Products Tanker,"3,240","2,126",1988,St Kitts & Nevis,,White Coast Shipping Inc,Iraq,White Coast Shipping Inc,Al Wid Marine Services Inc,Marshall Islands,Gadani,Pakistan,22-Feb
2022,8304816,THANOS,Anchor Handling Tug Supply,"2,686","2,362",1985,Vanuatu,,Trade Credebt Ltd,Irish Republic,Hermes Maritime Services Pvt,Trade Credebt Ltd,Irish Republic,Chittagong,Bangladesh,22-May
2022,9197301,JARVIS,Anchor Handling Tug Supply,"2,235","2,045",1998,Vanuatu,,Trade Credebt Ltd,Irish Republic,Hermes Maritime Services Pvt,Trade Credebt Ltd,Irish Republic,Alang,India,22-Jun
2022,7358573,OLD CLUB,Passenger/Cruise,"16,852","8,700",1977,Sierra Leone,Panama,Mano Maritime Ltd,Israel,Mano Maritime Ltd,Mint Marine Ltd,Marshall Islands,Aliaga,Turkey,22-Jul
2022,9114969,SAPPER,Chemical/Products Tanker,"9,914","5,503",1997,Panama,Italy,Finbeta SpA,Italy,Finbeta SpA,Finbeta SpA,Italy,Alang,India,22-Mar
2022,7406980,MASTER,Anchor Handling Tug Supply,"1,392",,1975,Mexico,,Micoperi SpA,Italy,Micoperi SpA,Micoperi SP SA de CV,Mexico,Aliaga,Turkey,21-Nov
2022,8758603,TORO,"Pipe layer Platform, semi submersible","31,506","18,592",1978,Bahamas,,SAIPEM SpA,Italy,SAIPEM Portugal Comercio,SAIPEM Portugal Comercio,Madeira,Aliaga,Turkey,22-May
2022,8502808,MIKASA,Passenger/Ro-Ro Ship (Vehicles),999,"1,435",1985,Belize,Japan,Iki Shogyo Kaihatsu KK,Japan,Iki Shogyo Kaihatsu KK,Iki Shogyo Kaihatsu KK,Japan,Chittagong,Bangladesh,22-Jun
2022,9020857,FOX,LPG Tanker,995,995,1992,Belize,Japan,Ikous Co Ltd,Japan,Ikous Co Ltd,Sea Grove Co Ltd,Japan,Chittagong,Bangladesh,22-Mar
2022,9165920,KAIREI,Research Survey Vessel,"4,517",,1997,Japan,,JAMSTEC,Japan,JAMSTEC,JAMSTEC,Japan,Kitakyushu,Japan,22-Feb
2022,9241669,CAPE ENTERPRISE,Bulk Carrier,"92,993","22,043",2003,South Africa,,Kawasaki Kisen Kaisha Ltd,Japan,Kawasaki Kisen Kaisha Ltd,Water Front Shipping Pte Ltd,Singapore,Alang,India,22-Mar
2022,9058830,YUTOKU,LPG Tanker,998,"1,128",1992,Belize,Japan,Kumazawa Kaiun Co Ltd,Japan,Tahara Kisen KK,Tahara Kisen KK,Japan,Chittagong,Bangladesh,22-Aug
2022,9083976,SHINTANEGASHIMA,Ro-Ro Cargo Ship,"1,009","1,525",1993,Belize,Japan,Kyodo Kumiai Kaiun,Japan,Kyodo Ferry Unyu YK,Kyodo Ferry Unyu YK,Japan,Chittagong,Bangladesh,22-Nov
2022,9006150,MAXIM,LPG Tanker,"4,429","2,616",1992,Comoros,Liberia,Marubeni Corp,Japan,Unknown,M Gas Corp,Liberia,Alang,India,22-Jul
2022,8700474,JIN,Passenger/Cruise,"23,235","9,949",1989,St Kitts & Nevis,Japan,Mitsubishi Logistics Corp,Japan,Mitsubishi Logistics Corp,Kakuta Co Ltd,Japan,Gadani,Pakistan,22-Jan
2022,9331476,VENTURE,"FPSO, Oil","83,245","32,081",2007,St Kitts & Nevis,Panama,Mitsui OSK Lines Ltd,Japan,Modec Inc,Stybarrow MV 16 BV,Netherlands,Alang,India,22-May
2022,9742053,HALCON TRADER,Chemical/Products Tanker,"13,061","6,144",2016,Philippines,,Nisshin Shipping Co Ltd,Japan,Ultranav International SA,Ratu Shipping Co SA,Panama,Alang,India,22-Feb
2022,8921195,SONIC,Products Tanker,"1,493","1,022",1990,Sierra Leone,Japan,Yokohama Yusosen KK,Japan,Yokohama Yusosen KK,Yokohama Yusosen KK,Japan,Chittagong,Bangladesh,22-Jan
2022,9141326,ORIENT 1,Bulk Carrier,"75,752","18,138",1997,Liberia,Korea (South),Â Hahn & Co,Korea (South),H-Line Shipping Co Ltd,H-Line Shipping Co Ltd,Korea (South),Alang,India,22-Nov
2022,9066796,CHANG SUNG HO,Products Tanker,563,,1994,Korea (South),,Formarine Co Ltd,Korea (South),Formarine Co Ltd,Dowon Shipping Co Ltd,Korea (South),Busan,Korea (South),22-May
2022,9152569,NOAH HANA,Chemical/Products Tanker,"1,953","1,364",1996,Korea (South),,Hana Marine Co Ltd,Korea (South),Hana Marine Co Ltd,Hana Marine Co Ltd,Korea (South),Busan,Korea (South),22-Jan
2022,8713952,FINE HANA,Chemical/Products Tanker,732,,1988,Korea (South),,Hana Marine Co Ltd,Korea (South),Hana Marine Co Ltd,Hana Marine Co Ltd,Korea (South),Busan,Korea (South),22-May
2022,9016466,ACE TRANSIA,Chemical/Products Tanker,739,614,1991,Korea (South),,Hana Marine Co Ltd,Korea (South),Hana Marine Co Ltd,Hana Marine Co Ltd,Korea (South),Busan,Korea (South),22-Jul
2022,9128556,REDPEARL,Passenger/Ro-Ro Ship (Vehicles),"2,878","3,474",1995,Comoros,Korea (South),Hanil Express Co Ltd,Korea (South),Hanil Express Co Ltd,Hanil Express Co Ltd,Korea (South),Chittagong,Bangladesh,22-Nov
2022,8764535,H 1000,Pipe Layer Crane Vessel,"12,363","8,623",1983,Panama,,Hyundai Heavy Industries,Korea (South),Hyundai Heavy Industries,Hyundai Heavy Industries,Korea (South),Gadani,Pakistan,22-Apr
2022,9036363,EIWA MARU 7,Chemical/Products Tanker,739,578,1992,Korea (South),,Keoyoung Shipping Co Ltd,Korea (South),Keoyoung Shipping Co Ltd,Keoyoung Shipping Co Ltd,Korea (South),Busan,Korea (South),22-Apr
2022,9062192,SKY ACE 3,Chemical/Products Tanker,741,581,1992,Korea (South),,Keoyoung Shipping Co Ltd,Korea (South),Keoyoung Shipping Co Ltd,Keoyoung Shipping Co Ltd,Korea (South),Busan,Korea (South),22-Sep
2022,9058517,SAEHAN CHEMSTAR,Chemical/Products Tanker,"4,969","2,518",1992,Korea (South),,Saehan Marine Co Ltd,Korea (South),Saehan Marine Co Ltd,Saehan Marine Co Ltd,Korea (South),Alang,India,22-Jan
2022,9110066,NO. 1 SJ GAS,LPG Tanker,"2,931","1,978",1994,Korea (South),,Sam Hyun,Korea (South),SJ Tanker Co Ltd,SJ Tanker Co Ltd,Korea (South),Alang,India,22-Apr
2022,9184574,MAR,Passenger/Ro-Ro Ship (Vehicles),"13,665","10,800",1998,Niue,Korea (South),Sea World Express Ferry Co Ltd,Korea (South),Sea World Express Ferry Co Ltd,Sea World Express Ferry Co Ltd,Korea (South),Chittagong,Bangladesh,22-Oct
2022,9170951,ONENESS,Chemical/Products Tanker,"5,315","3,214",1997,Korea (South),,Shipman Co Ltd,Korea (South),Shipman Co Ltd,Shipman Co Ltd,Korea (South),Alang,India,22-Apr
2022,9137595,ONSAN GAS,LPG Tanker,"3,529","2,095",1995,Korea (South),,Smart Marine Co Ltd,Korea (South),E Marine Co Ltd,E Marine Co Ltd,Korea (South),Chittagong,Bangladesh,22-Jul
2022,9135779,SEOUL GAS,LPG Tanker,"4,248","3,080",1999,Korea (South),,Smart Marine Co Ltd,Korea (South),E Marine Co Ltd,E Marine Co Ltd,Korea (South),Chittagong,Bangladesh,22-Jul
2022,9135341,TAECHANG PEARL,Products Tanker,749,,1996,Korea (South),,Tae Chang Shipping Co Ltd,Korea (South),Tae Chang Shipping Co Ltd,Tae Chang Shipping Co Ltd,Korea (South),Busan,Korea (South),22-May
2022,9118460,EASTERN EXCELLENCY,Chemical/Products Tanker,"1,998",,1994,Korea (South),,YM Shipping Co Ltd,Korea (South),YM Shipping Co Ltd,YM Shipping Co Ltd,Korea (South),Busan,Korea (South),22-Jun
2022,7303085,AZAB,Anchor Handling Tug Supply,861,870,1973,Panama,,Bahman Trading Corp,Kuwait,Bahman Shipping & Marine Serv,Bahman Trading Corp,Kuwait,Gadani,Pakistan,22-Sep
2022,8326450,CEMENT 1,"Cement Storage Barge, non propelled","39,532","14,738",1976,St Kitts & Nevis,Kuwait,Hilal Bulk,Kuwait,Hilal Bulk,Hilal Bulk,Kuwait,Alang,India,22-May
2022,6924882,ANTIGONE Z,Palletised Cargo Ship,"1,827",,1969,Panama,,Sea First International,Lithuania,Sea First International,AZ Shipping Co SA,Panama,Brest,France,22-Apr
2022,7128887,IAN,Passenger/Ro-Ro Ship (Vehicles),"6,748",,1972,Togo,Panama,Tnitsea Shipping LDA,Madeira,Tnitsea Shipping LDA,Tnitsea Shipping LDA,Madeira,Aliaga,Turkey,22-Apr
2022,8518182,RAFI,Anchor Handling Tug Supply,"2,463","2,084",1986,St Kitts & Nevis,Malaysia,Asian Geos Sdn Bhd,Malaysia,Asian Geos Sdn Bhd,Asian Geos Sdn Bhd,Malaysia,Chittagong,Bangladesh,22-Jan
2022,7382885,JAVA ILLITHYIA,Pipe Layer,"2,685","2,257",1974,Malaysia,,Asian Geos Sdn Bhd,Malaysia,Ageo Marine Sdn Bhd,Asian Geos Sdn Bhd,Malaysia,Chittagong,Bangladesh,22-Oct
2022,9228875,TIARA,Production Testing Vessel,"8,441","5,612",2002,St Kitts & Nevis,Malaysia,BC Petroleum Sdn Bhd,Malaysia,BC Petroleum Sdn Bhd,BC Petroleum Sdn Bhd,Malaysia,Alang,India,22-Feb
2022,8710857,PISC,Passenger/Ro-Ro Ship (Vehicles),"40,053","16,722",1990,St Kitts & Nevis,Bahamas,Genting Malaysia Bhd,Malaysia,Â Genting Cruise Lines,Star Pisces,Isle Of Man,Alang,India,22-Jul
2022,9008419,GEM,Passenger/Cruise,"50,764","22,372",1992,St Kitts & Nevis,Bahamas,Genting Malaysia Bhd,Malaysia,Genting Cruise Lines,Ocean Dream Ltd-BAH,Bahamas,Alang,India,22-Nov
2022,9008421,ARIUS,Passenger/Cruise,"51,309","22,727",1993,St Kitts & Nevis,,Genting Malaysia Bhd,Malaysia,Genting Cruise Lines,Superstar Aquarius Ltd,Bermuda,Alang,India,22-Nov
2022,9106247,MUHIBBAH PB16,Pontoon (Function Unknown),930,728,1994,Malaysia,,Muhibbah Engineering M Bhd,Malaysia,Muhibbah Engineering M Bhd,Muhibbah Engineering M Bhd,Malaysia,Chittagong,Bangladesh,22-Jul
2022,9277125,EMERALD I,Anchor Handling Tug Supply,"2,104","2,133",2003,Panama,Malaysia,Perisai Petroleum Teknologi,Malaysia,Prince Marine Transport Serv,Prince Marine Transport Serv,India,Alang,India,22-Apr
2022,8771928,T-19,"Work/Maintenance Pontoon, non propelled","12,031","7,636",2010,Palau,Panama,Sapura Energy Bhd,Malaysia,Sapura Drilling S Pte Ltd,Sapura Drilling T-19 Ltd,Bermuda,Alang,India,22-Dec
2022,6806779,MINISTAR,LPG Tanker,963,842,1968,Malaysia,,Uni-Fleet Sdn Bhd,Malaysia,Uni-Fleet Sdn Bhd,Uni-Fleet Sdn Bhd,Malaysia,Chittagong,Bangladesh,22-Oct
2022,9252292,VS,Products Tanker,"22,184","9,169",2003,Palau,Isle of Man,Valloeby Shipping Ltd,Malta,Handytankers K/S,Valloeby Riesa Ltd,Isle Of Man,Alang,India,22-Apr
2022,7712963,ALBARAKA III,Livestock Carrier,"4,182","1,963",1978,Togo,,Al Rizq Shipping & Livestock,Marshall Islands,Al Rizq Shipping & Livestock,Al Rizq Shipping & Livestock,Marshall Islands,Alang,India,22-Mar
2022,9191773,KINGSWAY,Chemical/Products Tanker,"5,827","3,058",1998,Unknown,,Cosmos Oil Trade Co Ltd,Marshall Islands,Cosmos Oil Trade Co Ltd,Cosmos Oil Trade Co Ltd,Marshall Islands,Busan,Korea (South),22-Feb
2022,5055531,PAN III,Bunkering Tanker (Oil),"1,962",350,1962,Togo,Unknown,Laura Maritime Ltd,Marshall Islands,Laura Maritime Ltd,Laura Maritime Ltd,Marshall Islands,Aliaga,Turkey,22-May
2022,7347536,DELPHIN,Passenger/Cruise,"16,214","8,504",1975,Bahamas,,Vishal Cruises Pvt Ltd,Mauritius,Ship Management Ltd-CRT,Vishal Cruises Pvt Ltd,Mauritius,Aliaga,Turkey,22-Apr
2022,8755687,SONORA,"Drilling Rig, jack up","4,492",,1979,Mexico,,Compania Perforadora Mexico SA,Mexico,Compania Perforadora Mexico SA,Compania Perforadora Mexico SA,Mexico,Alvarado,Mexico,22-Jun
2022,7110000,JOSE FERNANDA,Cement Carrier,"1,725",,1972,Panama,,Gremex Shipping SA de CV,Mexico,Gremex Shipping SA de CV,Etolia Shipping Operators SA,Panama,Colon,Panama,22-Jan
2022,9056179,MORGENSTER,Fishing Vessel,546,,1993,Netherlands,,Bakker PP,Netherlands,Bakker PP,Bakker en Zonen Rederij BV,Netherlands,Ghent,Belgium,22-Oct
2022,8121434,BOKA INSTALLER,Sheerlegs Pontoon,"1,992","1,690",1982,Germany,,Boskalis Westminster NV,Netherlands,Boskalis Offshore Subops GmbH,Boskalis Offshore Subops GmbH,Germany,Ghent,Belgium,22-Nov
2022,9261152,FUGRO ADVENTURER,Offshore Support Vessel,"1,708",,2002,Panama,,Fugro NV,Netherlands,Fugro Survey Middle East Ltd,Semeru Shipping BV,Netherlands,Aliaga,Turkey,22-Jan
2022,8207458,VOS SUPPORTER,Standby Safety Vessel,680,,1983,United Kingdom,,Vroon Offshore BV,Netherlands,Vroon Offshore Services Ltd,Offshore Support Vessels VI,United Kingdom,Leith,United Kingdom,22-Mar
2022,8211887,VOS DEFENDER,Standby Safety Vessel,680,,1983,United Kingdom,,Vroon Offshore BV,Netherlands,Vroon Offshore Services Ltd,Offshore Support Vessels VI,United Kingdom,Leith,United Kingdom,22-Mar
2022,7392907,LIDA,General Cargo Ship,992,,1974,Antigua & Barbuda,,WIND BV,Netherlands,WIND BV,Lida Shipping BV,Netherlands,Bilbao,Spain,22-Apr
2022,9210907,DEBO,Chemical/Products Tanker,"24,099","9,929",2002,Tanzania,Liberia,Stallionaire Shipping & Marine,Nigeria,Finneke Shipping Ltd,Stallionaire Nigeria Ltd,Nigeria,Alang,India,22-Apr
2022,8105480,WILHUNTER,"Drilling Rig, semi Submersible","14,504",,1983,Vanuatu,,AWilhelmsen AS,Norway,Awilco Drilling Ltd,Wilphoenix UK Ltd,United Kingdom,Aliaga,Turkey,22-Jul
2022,7804998,STRYN,Passenger/Ro-Ro Ship (Vehicles),996,,1979,Norway,,Fjord1 ASA,Norway,Fjord1 ASA,Fjord1 ASA,Norway,Stokksund,Norway,21-Dec
2022,8119596,SAR RANGER,Anchor Handling Tug Supply,"1,502",,1982,Norway (Nis),,Hoyland Offshore AS,Norway,Hoyland Offshore AS,SAR Offshore  AS,Norway,Esbjerg,Denmark,22-Mar
2022,4907488,KARMOY,Minehunter,917,,1995,Norway,,Norway Govt,Norway,Norway Govt Navy,Norway Govt Navy,Norway,Hanoytangen,Norway,22-Jun
2022,4907517,ALTA,Minehunter,917,,1996,Norway,,Norway Govt,Norway,Norway Govt Navy,Norway Govt Navy,Norway,Hanoytangen,Norway,22-Jun
2022,9047491,BOW FLOWER,Chemical/Products Tanker,"23,197","11,277",1994,Marshall Islands,,Odfjell SE,Norway,Odfjell Tankers AS,Odfjell Chemical Tankers AS,Norway,Alang,India,22-Apr
2022,9043079,SW EMERALD,Research Survey Vessel,"4,546",,1992,Panama,,Shearwater Geoservices Holding,Norway,Reflection Marine UK Ltd,Shearwater Geoservices Assets,Norway,Aliaga,Turkey,22-Apr
2022,9176292,SW EAGLE,Research Survey Vessel,"10,946",,1999,Panama,,Shearwater Geoservices Holding,Norway,Reflection Marine UK Ltd,Shearwater Geoservices Assets,Norway,Aliaga,Turkey,22-Jun
2022,9186675,FAR SOVEREIGN,Anchor Handling Tug Supply,"4,418",,1999,Norway (Nis),,Solstad Offshore ASA,Norway,Farstad Shipping AS,Farstad Supply AS,Norway,Ulsteinvik,Norway,22-Feb
2022,9121053,NORMAND NEPTUN,Anchor Handling Tug Supply,"3,664",,1996,Norway,,Solstad Offshore ASA,Norway,Solstad Shipping AS,Solstad Rederi AS,Norway,Ulsteinvik,Norway,22-Apr
2022,7705049,GECO BLUEFIN,Research Survey Vessel,"4,716",,1980,Panama,,Volstad Shipping AS,Norway,WesternGeco Fleet Management,Volstad Subsea AS,Norway,Stokksund,Norway,22-Jan
2022,8004076,ISRAR 1,Fishing Vessel,536,470,1980,Oman,,Starlight LLC,Oman,Starlight LLC,Starlight LLC,Oman,Gadani,Pakistan,22-Jan
2022,8304634,WALRUS,Salvage Ship,501,,1984,Unknown,,Intimo International Inc,Palau,Intimo International Inc,Intimo International Inc,Palau,Las Palmas,Canary Islands,22-Mar
2022,8205319,COOL ASTER,Refrigerated Cargo Ship,"3,955","2,322",1984,Unknown,Panama,Apollo Offshore Marine Corp,Panama,Apollo Offshore Marine Corp,Apollo Offshore Marine Corp,Panama,Aliaga,Turkey,22-Jul
2022,9116278,GANGWON 1,Passenger/Ro-Ro Ship (Vehicles),"20,278","11,253",1996,Comoros,Panama,PCF Line SA,Panama,PCF Line SA,PCF Line SA,Panama,Chittagong,Bangladesh,22-Sep
2022,8840145,ARLY KEN,Bunkering Tanker (Oil),740,,1990,Unknown,,Petro Caribean Suppliers SA,Panama,Petro Caribean Suppliers SA,R & Lopez Trade SA,Panama,Colon,Panama,22-Mar
2022,9062221,FENIX II,Products Tanker,629,,1992,Panama,,Renier Maritime SA,Panama,Renier Maritime SA,Renier Maritime SA,Panama,Colon,Panama,22-Aug
2022,7742360,MEDOMAK RIVER,Platform Supply Ship,624,,1978,Panama,,Natalia Naviera SAC,Peru,Natalia Naviera SAC,Natalia Naviera SAC,Peru,Unknown,Unknown,22-Jan
2022,9042764,ST. LEO,Passenger/Ro-Ro Ship (Vehicles),"19,468","7,246",1992,Comoros,Philippines,Jebsen PTC Inc,Philippines,Jebsen PTC Inc,Jebsen PTC Inc,Philippines,Chittagong,Bangladesh,22-Jan
2022,8405103,SOFIA V,General Cargo Ship,"1,668",,1984,Philippines,,Kelly Bryce Logistics Inc,Philippines,Kelly Bryce Logistics Inc,Kelly Bryce Logistics Inc,Philippines,Unknown,Philippines,22-Jan
2022,9298337,MTKR IZABELLA,Products Tanker,"2,761","1,687",2004,Philippines,,Terban Marine Corp,Philippines,Terban Marine Corp,Terban Marine Corp,Philippines,Alang,India,22-Jun
2022,9083160,GSP PERSEU,Platform Supply Ship,"1,289",,1994,Malta,,GSP,Romania,GSP,GSP Perseu Ltd,Malta,Aliaga,Turkey,22-Aug
