BUILT,PREVIOUS_FLAG,RO_COUNTRY,TYPE,REGISTERED_OWNER,GT,IMO,ARRIVAL,COMMERCIAL_OPERATOR,LDT,BO_COUNTRY,COUNTRY,YEAR,LAST_FLAG,BENEFICIAL_OWNER,PLACE,NAME
1989.0,,Liberia,Bulk Ore Carrier,General Ore Carrier Corporation XXX Limited ,144759.0,8707226,30-Oct,Neu Seeschiffahrt GmbH ,,Germany,Bangladesh,2015,Liberia,Neu Seeschiffahrt GmbH ,Chittagong,Margot N.
1982.0,,India,Tug,Netwar Marine Logistics,577.0,8110605,09-Jul,Netwar Marine Logistics,,India,India,2015,India ,Netwar Marine Logistics,Mumbai,Jade
1983.0,,Panama,Fully Cellular Containership,Ilaira Maritime S.A. ,8328.0,8215778,26-Nov,Nereide Marine S.A. ,,Greece,India,2015,Panama ,Nereide Marine S.A. ,Alang,Amneh-F.
1975.0,,Philippines,Passenger Ro/Ro,Carlos A. Gothong Lines Incorporated,8884.0,7426033,25-Feb,Carlos A. Gothong Lines Incorporated,,Philippines,Philippines,2015,Philippines,Negros Navigation Company Incorporated ,Cebu,Subic Way 1 
1992.0,,Philippines,Passenger Ro/Ro,2Go Group Incorporated,19468.0,9042726,09-Feb,Negros Navigation Company Incorporated,,Philippines,Bangladesh,2015,Comoros ,Negros Navigation Company Incorporated,Chittagong,Gregory
1986.0,,Panama,Bulk Carrier,Kar Shipping Investment S.A. ,25131.0,8413186,17-Oct,Negmar Denizcilik Yatirim AS ,,Turkey,India,2015,Panama ,Negmar Denizcilik Yatirim AS ,Alang,Reis G.
1989.0,,Turkey,General Cargo With Container Capacity,Negmar Denizcilik Yatirim AS,1998.0,8905983,24-Aug,Negmar Denizcilik Yatirim AS,,Turkey,Turkey,2015,Turkey ,Negmar Denizcilik Yatirim AS,Aliaga,Yunus N.
1985.0,,Panama,Bulk carrier,Andes International Shipping Incorporated ,22208.0,8312772,21-Mar,Ultrabulk S.A. ,,Chile,India,2015,Chile,Naviera Ultranav Limitada ,Alang,Tatio
1975.0,,Bulgaria,General Cargo,Mineral Vessel S.A.,7788.0,7403550,29-Sep,Naviborn Limited ,,Bulgaria,Turkey,2015,Comoros ,Naviborn Limited ,Aliaga,Lena Koleva
1979.0,,Thailand,Liquid Petroleum Gas Carrier,Navakun Transport Company Limited,698.0,7913866,05-Jul,Navakun Transport Company Limited,,Thailand,Bangladesh,2015,Thailand ,Navakun Transport Company Limited,Chittagong,Navakun 14
1983.0,,Malaysia,Tanker,Nautical Paradise Sendirian Berhad,1952.0,8221820,07-May,Nautical Paradise Sendirian Berhad,,Malaysia,Pakistan,2015,Equatorial Guinea ,Nautical Paradise Sendirian Berhad,Gadani,Nadiya Megane
1982.0,,Marshall Islands,Bulk carrier,Callio Shipping Corporation ,16927.0,8014772,08-Feb,Narval Shipping Corporation ,,Greece,India,2015,Panama,Narval Shipping Corporation ,Alang,Callio
1984.0,,Panama,General Cargo,NYC Shipping Incorporated ,18220.0,8300937,16-Mar,Nanjing Ocean Shipping Company Limited ,,China,India,2015,Panama,Nanjing Ocean Shipping Company Limited ,Alang,Yong Jia Men
1985.0,,Marshall Islands,Bulk Carrier,Seapower Shipping Company Limited,15786.0,8316364,08-Apr,Judi Group J.K.M.  ,,Lebanon,Pakistan,2015,Belize ,Muhieddine Shipping Company,Gadani,Shehab Almuhieddine
1982.0,,United Arab Emirates,Tug,Mubarak Marine LLC ,642.0,8112225,12-Nov,Mubarak Marine LLC ,,United Arab Emirates,India,2015,United Arab Emirates,Mubarak Marine LLC ,Mumbai,Al Towfan
1990.0,,Panama,General Cargo With Container Capacity,Kackar Shipping Corporation,2592.0,8846670,16-Jan,MT Shipping San.Ve Tic. Limited Sti  ,,Turkey,Turkey,2015,Panama ,MT Shipping San.Ve Tic. Limited Sti  ,Aliaga,Haci Koksal Mataraci
1997.0,,Germany,Fully Cellular Containership,Erste Roland Shipping GmbH & Company KG ,29115.0,9122423,15-Dec,Norddeutsche Reederei H. Schuldt GmbH & Company KG ,,Germany,India,2015,Palau,Norddeutsche Vermogen Holding GmbH & Company ,Alang,Vita
2000.0,,Germany,Fully Cellular Containership,Beteiligungs-KG ms Northern Glance Schiffahrtsges. mbH & Company ,54415.0,9196917,18-Dec,NRG Norddeutsche Reederei-Beteiligungs Gesellschaft mbH & Company ,,Germany,Bangladesh,2015,Palau,Norddeutsche Vermogen Holding GmbH & Company ,Chittagong,Sia
1990.0,,Bangladesh,Bulk Carrier,J.K. Maritime Limited,23277.0,8915237,02-Sep,Nobpac Ship Management Limited  ,,Singapore,Bangladesh,2015,Bangladesh ,Nobpac Shipping Private Limited,Chittagong,JK Monowara
1992.0,,Singapore,Bulk Carrier,Challenger Shipping Private Limited,89004.0,9008160,21-Mar,Noble Chartering Incorporated  ,,Hong Kong,Pakistan,2015,Singapore ,Noble Group Limited,Gadani,Aqua Challenger
1981.0,,Cayman Islands,Drill Platform,Noble Drilling (Paul Wolff) Company Limited. ,15317.0,8756277,21-Jun,Noble do Brasil Limitada,,United States of America,Bangladesh,2015,St. Kitts-Nevis ,Noble Corporation ,Chittagong,Noble Paul Wolff
1986.0,,United States of America,Floating Production Tanker,Noble Drilling Corporation ,50928.0,8413863,26-Sep,Noble Drilling Corporation ,,United States of America,India,2015,St. Kitts-Nevis,Noble Corporation,Alang,Seillean
1990.0,,Panama,Bulk Carrier,Teak Shipholding S.A.,84565.0,8912285,29-Sep,Nippon Yusen Kabushiki Kaisha (NYK)  ,,Japan,India,2015,Panama ,Nippon Yusen Kabushiki Kaisha (NYK)  ,Alang,Matsura Maru
1991.0,,China,Bulk Carrier,Ningbo Tiansheng Shipping Company Limited  ,60139.0,9002506,10-Feb,Ningbo Tiansheng Shipping Company Limited  ,,China,China,2015,China ,Ningbo Tiansheng Shipping Company Limited  ,Unknown,Tian Sheng 17
1990.0,,China,Bulk Carrier,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,36438.0,8807583,06-Jul,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,,China,China,2015,China ,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,Jiangyin,Bei Lun Hai 36
1990.0,,China,Bulk Carrier,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,36433.0,8800119,20-Mar,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,,China,China,2015,China ,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited,Jiangyin,Bei Lun Hai 27
1985.0,,China,Bulk Carrier,Ningbo Beilun Shipping Company  ,24111.0,8307791,18-Apr,Ningbo Beilun Shipping Company  ,,China,China,2015,China ,Ningbo Beilun Shipping Company  ,Wenzhou ,Bei Lun 1
1992.0,,Greece,Bulk Carrier,Krateros Maritime Limited,25905.0,9038787,09-Jun,Nikator Navigation S.A.,,Greece,Bangladesh,2015,Malta ,Nikator Navigation S.A.,Chittagong,Krateros
1976.0,,Nigeria,Floating Storage Tanker,Pipelines & Products Marketing Company Limited,132029.0,7517882,12-Jul,Nigerian National Petroleum Corporation,,Nigeria,Bangladesh,2015,St. Kitts-Nevis ,Nigerian National Petroleum Corporation,Chittagong,Olo
1981.0,,Sierra Leone,General Cargo With Container Capacity,Delf Services ,1680.0,8031392,22-Dec,Niesco Shipping Company Limited ,,Ukraine,Turkey,2015,Moldova,Niesco Shipping Company Limited ,Aliaga,Elans
1982.0,,South Korea,Gas Carrier,NHL Development Company Limited ,3183.0,8013247,17-Feb,NHL Development Company Limited ,,South Korea,India,2015,South Korea,NHL Development Company Limited ,Alang,Honor
1990.0,,Liberia,Bulk Ore Carrier,General Ore Carrier Corporation XIX Limited ,144223.0,8618190,19-Sep,General Ore International Corporation ,,Germany,Pakistan,2015,Liberia,Neu Seeschiffahrt GmbH ,Gadani,Rebekka N.
1987.0,,Marshall Islands,Bulk Carrier,Adamant Shipping Limited,36788.0,8600595,21-Apr,Odysea Carriers S.A.,,Greece,India,2015,Cyprus ,Odysea Carriers S.A.,Alang,Evrialos
1986.0,,Singapore,Chemical Tanker,Odfjell Asia II Private Limited ,19688.0,8416322,26-Nov,Odfjell Asia II Private Limited ,,Norway,India,2015,Norway ,Odfjell SE ,Alang,Bow Victor
1996.0,,Panama,Product Tanker,Hallandale Commercial Corporation ,24111.0,8601836,12-Nov,Ravenscroft Ship Management Incorporated ,,Argentina,Pakistan,2015,St. Kitts-Nevis,Oceanmarine S.A. ,Gadani,Amade
1995.0,,Liberia,Bulk Carrier,Transcontinental General Incorporated,77243.0,9112258,10-May,Ocean Longevity Shipping & Management Company Limited  ,,Hong Kong,Bangladesh,2015,Hong Kong ,Ocean Longevity Company Limited  ,Chittagong,Ocean Dragon
1985.0,,Hong Kong,Bulk Carrier,Ocean Famous Shipping Company Limited,18836.0,8412508,03-Sep,Ocean Famous Shipping Company Limited,,Hong Kong,Bangladesh,2015,Panama ,Ocean Famous Shipping Company Limited,Chittagong,Ocean Famous
1993.0,,Hong Kong,Bulk Carrier,Zhong Yuan Shipping Company Limited,75232.0,9044463,27-May,Ocean Faith Shipping Company Limited,,China,Pakistan,2015,Hong Kong ,Ocean Faith Shipping Company Limited,Gadani,Chikuzen 8
1990.0,,Hong Kong,Bulk Carrier,Best Trader International Shipping Limited,40653.0,8914063,26-Apr,Ocean Faith Shipping Company Limited,,China,Bangladesh,2015,Panama ,Ocean Faith Shipping Company Limited,Chittagong,Best Trader
1964.0,,United States of America,Passenger (Cruise),Platinum Real Estates LLC  ,6659.0,6402937,12-Jun,Ocean Development I LLC  ,,United States of America,Dominican Republic,2015,Bolivia ,Ocean Development I LLC  ,Santo Dominguo,Palm Beach Princess
1979.0,,Russia,Trawler (All Types),OAO Arkhangelsk Trawl Fleet ,1734.0,7741029,29-Aug,OAO Arkhangelsk Trawl Fleet ,,Russia,Lithuania,2015,Russia ,OAO Arkhangelsk Trawl Fleet ,Klaipeda,Klintsy
1996.0,,Brazil,Fully Cellular Containership,Vessel Log - Companhia Brasileira de Navegacao e Logistics ,12938.0,9065261,06-Jan,NTL - Navegacao E Logistica SA ,,Brazil,Bangladesh,2015,St. Kitts-Nevis,NTL - Navegacao E Logistica SA ,Chittagong,Mediterraneo
1986.0,,Brazil,Fully Cellular Containership,NTL - Navegacao E Logistica SA,22201.0,8300016,17-Jun,NTL - Navegacao E Logistica SA,,Brazil,India,2015,Togo ,NTL - Navegacao E Logistica SA,Alang,Atlantico
1997.0,,Germany,General Cargo,ms Adelaide Schiffahrtsges. mbH & Company KG ,34885.0,9112973,24-Jan,NSC Schifffahrtsgesellschaft mbH & Cie. KG ,,Germany,India,2015,Liberia,NSC Holding GmbH & Cie KG ,Alang,Thea
1977.0,,Russia,Product Tanker,Novorossiysk Marine Trading Port Fleet Joint Stock Company,950.0,8923612,16-Jan,Novorossiysk Commercial Sea Port Company Limited,,Russia,Turkey,2015,Russia ,Novorossiysk Commercial Sea Port Company Limited,Aliaga,Kirpili
1993.0,,Russia,Fish Factory,Northern-Kurily Seiner Fleet,2388.0,8881436,25-Jan,Northern-Kurily Seiner Fleet,,Russia,Bangladesh,2015,Russia ,Northern-Kurily Seiner Fleet,Chittagong,Kurilskaya Gryada
1978.0,,Faroe Islands,General Cargo With Container Capacity,s/pf Scan Carrier,2195.0,7700609,25-Feb,Janus Andersen & Company A/S ,,Denmark,Denmark,2015,Faroe Islands ,Norresundby Rederi A/S ,Grenaa,Scan Fjell
1997.0,,Germany,Fully Cellular Containership,Beteiligungsges. ms Northern Diversity Schiffahrtsges. mbH & Company ,36606.0,9147112,30-Dec,H. Schuldt OHG (GmbH & Company),,Germany,India,2015,Comoros ,Norddeutsche Vermogen Holding GmbH & Company ,Alang,Sity
1975.0,,Indonesia,Fully Cellular Containership,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),2151.0,7417733,31-Dec,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),,Indonesia,Indonesia,2015,Indonesia ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),Unknown,Jupiter Baru
1988.0,,Indonesia,Wood-Chip Carrier,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),34133.0,8711045,03-Jul,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),,Indonesia,India,2015,Indonesia ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),Alang,Lucky Dolphin
1982.0,,Indonesia,General Cargo,P.T. Pelayaran Isa Line  ,5683.0,8123042,31-May,P.T. Pelayaran Isa Line  ,,Indonesia,Indonesia,2015,Indonesia ,P.T. Pelayaran Isa Line  ,Jakarta,Isa River
1983.0,,Indonesia,Liquid Petroleum Gas Carrier,P.T. Newship Nusa Bersama,15397.0,8128963,12-Sep,P.T. Newship Nusa Bersama,,Indonesia,India,2015,St. Kitts-Nevis ,P.T. Newship Nusa Bersama,Alang,Era
1989.0,,Indonesia,Combined Chemical And Oil Tanker,P.T. Multiline Shipping Company ,11003.0,8517073,11-Nov,P.T. Multiline Shipping Company ,,Indonesia,Bangladesh,2015,Indonesia,P.T. Multiline Shipping Company ,Chittagong,Multi-Delta
1978.0,,Panama,Reefer,Winter Star Marine S.A.  ,11222.0,7632278,30-Jul,Ost-West-Handel und Schiffahrt GmbH  ,,Germany,Bangladesh,2015,St. Vincent & Grenadines ,Ost-West-Handel und Schiffahrt GmbH  ,Chittagong,Baltic Sky
1980.0,,Panama,Reefer,Rhodes Group Corporation,11243.0,7726718,22-Jul,Ost-West-Handel und Schiffahrt GmbH  ,,Germany,Bangladesh,2015,St. Vincent & Grenadines ,Ost-West-Handel und Schiffahrt GmbH  ,Chittagong,Baltic Stream
1970.0,,Saint Vincent and the Grenadines,General Cargo,Head Shipping Company Limited,1203.0,7038147,06-Mar,Ostshipping Company Limited,,Russia,China,2015,Cambodia ,Ostshipping Company Limited,Zhangjiagang,Eastern
1985.0,,Singapore,Bulk carrier,Opes Maritime Limited S.A. ,24643.0,8307583,17-Feb,Opes Maritime Limited S.A. ,,Singapore,India,2015,Panama,Opes Maritime Limited S.A. ,Alang,Asean Wisdom
1983.0,,Belize,Reefer,Ginsor Limited ,4128.0,8223452,13-Nov,Open Joint Stock Company Atlantrybflot Scientific & Industrial Association ,,Russia,India,2015,St. Kitts-Nevis,Open Joint Stock Company Atlantrybflot Scientific & Industrial Association ,Alang,Wind Forrader
1966.0,,Seychelles,General Cargo,Oldington Invest Corporation ,1948.0,6801212,26-Nov,Oldington Invest Corporation ,,Seychelles,Turkey,2015,Cambodia ,Oldington Invest Corporation ,Aliaga,Creach
1986.0,,India,Anchor Handling Tug/Supply,Oil and Natural Gas Corporation Limited (ONGC) ,951.0,8311728,09-Dec,Oil and Natural Gas Corporation Limited (ONGC) ,,India,India,2015,India,Oil and Natural Gas Corporation Limited (ONGC) ,Alang,Samudrika 4
1985.0,,India,Anchor Handling Tug/Supply,Oil and Natural Gas Corporation Limited,954.0,8413813,31-May,Oil and Natural Gas Corporation Limited,,India,India,2015,India ,Oil and Natural Gas Corporation Limited,Mumbai,Samudrika 16
1985.0,,India,Anchor Handling Tug/Supply,Oil and Natural Gas Corporation Limited,954.0,8413801,12-May,Oil and Natural Gas Corporation Limited,,India,India,2015,India ,Oil and Natural Gas Corporation Limited,Mumbai,Samudrika 15
1986.0,,India,Anchor Handling Tug/Supply,Oil and Natural Gas Corporation Limited,951.0,8311699,01-Apr,Oil and Natural Gas Corporation Limited,,India,India,2015,India ,Oil and Natural Gas Corporation Limited,Mumbai,Samudrika 2
1974.0,,Turkey,General Cargo,Of Denizcilik Ticaret A.S. ,3641.0,7364534,16-Dec,Of Denizcilik Ticaret A.S. ,,Turkey,Turkey,2015,Turkey ,Of Denizcilik Ticaret A.S. ,Aliaga,Toyca-1
1991.0,,Brazil,Product Tanker,Petrobras Transporte S.A. (TRANSPETRO),19290.0,8301802,14-Jul,Petrobras Transporte S.A. (TRANSPETRO),,Brazil,Pakistan,2015,Tanzania ,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN,Gadani,Lage
1995.0,,Slovenia,Bulk Carrier,Lucija Shipping Company Limited ,25503.0,9114141,15-Dec,Splosna Plovba d.o.o. ,,Germany,India,2015,Marshall Islands,Peter Doehle Schiffahrts-KG ,Alang,Lucija
1974.0,,Indonesia,Dredger,Perum Pengerukan,3934.0,7381740,18-Apr,Perum Pengerukan,,Indonesia,India,2015,Indonesia ,Perum Pengerukan,Mumbai,Sulawesi II
1961.0,,Bahamas,Floating Storage tanker,Perenco S.A. ,49001.0,5330412,26-Feb,Perenco S.A. ,,Bahamas,India,2015,France,Perenco S.A. ,Alang,Nio
1983.0,,Malaysia,Tug/Supply,Petra Offshore Limited  ,1658.0,8202795,27-Jan,Perdana Marine Offshore Private Limited,,Singapore,Bangladesh,2015,Bangladesh ,Perdana Marine Offshore Private Limited,Chittagong,IOS Victory
1987.0,,Panama,Tanker,Chemical Venture Incorporated ,7171.0,8504636,26-Mar,Pendulum Shipmanagement Incorporated ,,Greece,India,2015,Panama,Pendulum Shipmanagement Incorporated ,Alang,Tradewind
1989.0,,Bermuda,Bulk Carrier,Bulk Discovery (Bermuda) Limited,36986.0,8806187,20-Aug,Phoenix Bulk Carriers US LLC  ,,United States of America,Bangladesh,2015,Panama ,Pangaea Logistics Solutions,Chittagong,Bulk Discovery
1984.0,,Panama,Bulk Carrier,Palstek Shipping Incorporated  ,13021.0,8309438,21-Feb,Palstek Shipping Incorporated  ,,Panama,Turkey,2015,Panama ,Palstek Shipping Incorporated  ,Aliaga,Thea K.
1992.0,,Singapore,General Cargo With Container Capacity,Pacific International Lines (Private) Limited (PIL),13274.0,8918083,21-Apr,Pacific International Lines (Private) Limited (PIL),,Singapore,Bangladesh,2015,Singapore ,Pacific International Lines (Private) Limited (PIL),Chittagong,Kota Berlian
1984.0,,Indonesia,Bulk Carrier,P.T. Waruna Nusa Sentana  ,23536.0,8309335,20-Jan,P.T. Waruna Nusa Sentana  ,,Indonesia,Bangladesh,2015,St. Kitts-Nevis ,P.T. Waruna Nusa Sentana  ,Chittagong,Delfi
1975.0,,Indonesia,General Cargo With Container Capacity,P.T. Tanto Intim Line  ,3058.0,7509225,31-Dec,P.T. Tanto Intim Line  ,,Indonesia,Indonesia,2015,Indonesia ,P.T. Tanto Intim Line  ,Unknown,Tanto Mitra
1983.0,,Indonesia,Fully Cellular Containership,P.T. Tanto Intim Line ,5974.0,8104498,22-Oct,P.T. Tanto Intim Line ,,Indonesia,India,2015,Kiribati,P.T. Tanto Intim Line ,Alang,Satria
1992.0,,Indonesia,General Cargo With Container Capacity,P.T. Tanto Intim Line ,3972.0,8901004,16-Nov,P.T. Tanto Intim Line ,,Indonesia,Bangladesh,2015,Indonesia,P.T. Tanto Intim Line ,Chittagong,Tanto Fajar II
1983.0,,Indonesia,General Cargo With Container Capacity,P.T. Tanto Intim Line,10359.0,8129943,08-Jan,P.T. Tanto Intim Line,,Indonesia,Bangladesh,2015,Tuvalu ,P.T. Tanto Intim Line,Chittagong,Karunia
1977.0,,Indonesia,General Cargo,P.T. Sultra Lestari Lines ,2041.0,7639678,31-Dec,P.T. Sultra Lestari Lines ,,Indonesia,Indonesia,2015,Indonesia ,P.T. Sultra Lestari Lines ,Unknown,Baruna Perkasa
1976.0,,Indonesia,General Cargo,P.T. Pelayaran Setya Graha Sarana Maritim ,3228.0,7117254,12-Feb,P.T. Pelayaran Setya Graha Sarana Maritim ,,Indonesia,Indonesia,2015,Indonesia ,P.T. Pelayaran Setya Graha Sarana Maritim ,Surabaya,Setya Pratama
1983.0,,India,Product Tanker,Pratibha Shipping Company Limited,22127.0,8026218,18-Mar,Pratibha Shipping Company Limited,,India,Bangladesh,2015,St. Kitts-Nevis ,Pratibha Shipping Company Limited,Chittagong,Leo I
1970.0,,Ukraine,General Cargo,Sellberg Management Incorporated,2457.0,8874902,18-Jun,Poseidon Limited,,Ukraine,Turkey,2015,Cambodia ,Poseidon Limited,Aliaga,Rimma
1980.0,,Russia,Fishing (General),Polyarny Bereg 1 Company Limited,737.0,7833236,14-May,Polyarny Bereg 1 Company Limited,,Russia,Denmark ,2015,Russia ,Polyarny Bereg 1 Company Limited,Esbjerg,Ros
1992.0,,Bahamas,Bulk Carrier,Saturn Six Shipping Limited,41220.0,9011923,11-Feb,Polska Zegluga Morska (POLSTEAM)  ,,Poland,Bangladesh,2015,Vanuatu ,Polska Zegluga Morska (POLSTEAM)  ,Chittagong,Polska Walczaca
1991.0,,Bahamas,Bulk Carrier,Saturn One Shipping Limited  ,41252.0,8813934,27-Aug,Polska Zegluga Morska (POLSTEAM),,Poland,Pakistan,2015,Vanuatu ,Polska Zegluga Morska (POLSTEAM),Gadani,Solidarnosc
